Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Read blend: "/home/nicklee/Phenix_Project/Drone/environments/villa_v1/renders/assets_equipment/equipment_smoke.blend"
Fra:1 Mem:250.72M (Peak 250.72M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Caster wheel
Fra:1 Mem:250.73M (Peak 250.73M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Caster wheel.001
Fra:1 Mem:250.77M (Peak 250.77M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Tapered leg.002
Fra:1 Mem:250.78M (Peak 250.78M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass caster stem.002
Fra:1 Mem:250.87M (Peak 250.87M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Seat piping
Fra:1 Mem:250.86M (Peak 250.87M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Seat piping.001
Fra:1 Mem:250.91M (Peak 250.91M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Pedal lyre upright
Fra:1 Mem:250.89M (Peak 250.91M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Back stitched channel
Fra:1 Mem:250.95M (Peak 250.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Back stitched channel.001
Fra:1 Mem:250.97M (Peak 250.97M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Pedal lyre upright.001
Fra:1 Mem:250.96M (Peak 250.97M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Pedal lyre foot
Fra:1 Mem:251.01M (Peak 251.01M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass pedal
Fra:1 Mem:251.03M (Peak 251.03M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass pedal.002
Fra:1 Mem:251.12M (Peak 251.12M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Pianist bench
Fra:1 Mem:251.10M (Peak 251.12M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Bench leg
Fra:1 Mem:251.14M (Peak 251.14M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | cinema_seat_label
Fra:1 Mem:251.15M (Peak 251.15M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Bench leg.002
Fra:1 Mem:251.21M (Peak 251.21M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Bench leg.003
Fra:1 Mem:251.29M (Peak 251.29M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Deck chassis
Fra:1 Mem:251.41M (Peak 251.42M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Running belt
Fra:1 Mem:251.43M (Peak 251.45M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Side foot rail
Fra:1 Mem:251.52M (Peak 251.52M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 07_car_Wheel arch rolled lip
Fra:1 Mem:251.59M (Peak 251.59M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Inclined console post
Fra:1 Mem:251.65M (Peak 251.65M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Side foot rail.001
Fra:1 Mem:251.60M (Peak 251.65M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.001
Fra:1 Mem:251.64M (Peak 251.65M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 07_car_Wheel arch rolled lip.001
Fra:1 Mem:251.74M (Peak 251.74M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.002
Fra:1 Mem:251.76M (Peak 251.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.005
Fra:1 Mem:251.76M (Peak 251.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.006
Fra:1 Mem:251.76M (Peak 251.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.008
Fra:1 Mem:251.78M (Peak 251.78M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.009
Fra:1 Mem:251.77M (Peak 251.78M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.011
Fra:1 Mem:251.84M (Peak 251.84M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.012
Fra:1 Mem:251.86M (Peak 251.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.013
Fra:1 Mem:251.86M (Peak 251.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.014
Fra:1 Mem:251.86M (Peak 251.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.015
Fra:1 Mem:251.86M (Peak 251.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.016
Fra:1 Mem:251.86M (Peak 251.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.018
Fra:1 Mem:251.86M (Peak 251.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.019
