Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:253.64M (Peak 253.68M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.050
Fra:1 Mem:253.65M (Peak 253.68M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.036
Fra:1 Mem:253.70M (Peak 253.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Fallboard
Fra:1 Mem:253.68M (Peak 253.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Music desk
Fra:1 Mem:253.75M (Peak 253.75M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Music desk ledge
Fra:1 Mem:253.74M (Peak 253.75M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass caster stem
Fra:1 Mem:253.74M (Peak 253.75M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 04_cable_machine_Continuous tension cable.001
Fra:1 Mem:253.80M (Peak 253.80M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Caster wheel
Fra:1 Mem:253.86M (Peak 253.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Tapered leg.001
Fra:1 Mem:253.95M (Peak 253.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 04_cable_machine_D handle.001
Fra:1 Mem:253.93M (Peak 253.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Caster wheel.001
Fra:1 Mem:253.92M (Peak 253.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass caster stem.002
Fra:1 Mem:253.95M (Peak 253.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Caster wheel.002
Fra:1 Mem:253.94M (Peak 253.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Pedal lyre upright.001
Fra:1 Mem:254.00M (Peak 254.00M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 04_cable_machine_Wide grip pullup
Fra:1 Mem:254.03M (Peak 254.03M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Pedal lyre foot
Fra:1 Mem:254.02M (Peak 254.03M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | cable_machine_label
Fra:1 Mem:254.22M (Peak 254.22M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass pedal
