Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:84.66M (Peak 84.66M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_LED.002
Fra:1 Mem:84.78M (Peak 84.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.011
Fra:1 Mem:84.79M (Peak 84.79M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_shelf.003
Fra:1 Mem:85.01M (Peak 85.03M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_LED.003
Fra:1 Mem:85.03M (Peak 85.03M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Drawer_front.002
Fra:1 Mem:85.03M (Peak 85.03M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.011
Fra:1 Mem:85.06M (Peak 85.06M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_0.001
Fra:1 Mem:85.09M (Peak 85.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_1.001
Fra:1 Mem:85.13M (Peak 85.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.012
Fra:1 Mem:85.23M (Peak 85.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_2.001
Fra:1 Mem:85.24M (Peak 85.24M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_3.001
Fra:1 Mem:85.26M (Peak 85.26M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_4.001
Fra:1 Mem:85.28M (Peak 85.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.012
Fra:1 Mem:85.48M (Peak 85.48M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.013
Fra:1 Mem:85.49M (Peak 85.49M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_6.001
